keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note,score,uniqueness,new_rank
保育園 見学 給料 聞いていい,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:通説への反論枠。園長監修の看板記事候補【P2重点:30代・経験5年以上・失敗回避層】,41.61,2.0,20
保育士 志望動機 刺さる 採用側,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,41.61,2.0,21
保育士 志望動機 待遇 書き方,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:『待遇偏重は減点』の通説に対し、採用側がOKな書き方を示せる【P2重点:30代・経験5年以上・失敗回避層】,41.61,2.0,22
保育士 求人 情報 実際と違う,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,41.61,2.0,23
保育士 転職 給与交渉 やり方,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:採用側の交渉余地（どこまで動かせるか）は決裁者情報。単価の高い層に刺さる【P2重点:30代・経験5年以上・失敗回避層】,41.61,2.0,24
保育士 面接 園長 見るところ,C11_採用側・選考突破【中核】,50,Know,A,Low,低,7,推定/根拠:検索母数は小さいが完全な空白地帯。サイトの旗艦記事になりうる,41.61,2.0,25
保育園 ホワイト 特徴,C8_園・法人の評判（要法務確認）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,35.83,1.5,26
保育園 評判 調べ方 転職,C8_園・法人の評判（要法務確認）,100,Know,A,Low,低,,推定/根拠:固有名を出さず『調べ方』に抽象化すればリスク回避しつつ需要を取れる,35.83,1.5,27
保育士 ゆるい 園 特徴,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,35.83,1.5,28
保育士 人間関係 良い 園 見分け方,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,34,推定/根拠:採用側が知る『人間関係が壊れる園の構造』で独自性【P2重点:30代・経験5年以上・失敗回避層】,35.83,1.5,29
保育士 給料 高い 園 特徴,C3_給料・年収・処遇改善,100,Know,A,Low,低,35,推定/根拠:『どの園が高いか』は意思決定型。園の原資構造を園長が説明できる【P2重点:30代・経験5年以上・失敗回避層】,35.83,1.5,30
ブラック保育園 見分け方,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,2,推定/根拠:大手はチェックリスト型止まり。『残業/配置基準/離職率を数値で聞き、答えられるか』の採用側基準で差別化【P2重点:30代・経験5年以上・失敗回避層】,31.68,2.0,31
保育園 見学 チェックポイント,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,3,推定/根拠:見学は応募直前の行動。CV距離が最短クラス【P2重点:30代・経験5年以上・失敗回避層】,31.68,2.0,32
保育園 見学 質問 リスト,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,4,推定/根拠:大手が10〜25選型で上位。数値で答えさせる質問設計＋園長の『答えられない園＝黒』で上書き可能,31.68,2.0,33
保育士 転職 退職理由 例文,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,6,推定/根拠:退職理由の言い換えは選考通過の要所。悩み層→応募のCV導線【P2重点:30代・経験5年以上・失敗回避層】,31.68,2.0,34
保育士 面接 落ちた 理由,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,5,推定/根拠:不採用理由（保育観の不一致/待遇偏重/コミュニケーション）は採用側視点が本命,31.68,2.0,35
保育士 面接 逆質問,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,1,推定/根拠:逆質問＝園の見極め手段。採用側が好感/減点する質問を実名で語れるのは決裁者だけ【P2重点:30代・経験5年以上・失敗回避層】,31.68,2.0,36
保育園 現況報告書 見方,C8_園・法人の評判（要法務確認）,50,Do,A,Low,低,,推定/根拠:社会福祉法人の現況報告書は公開一次情報。読み方解説は競合皆無【P2重点:30代・経験5年以上・失敗回避層】,31.21,1.5,37
インターナショナルスクール 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,38
キャリアアップ研修 転職したら 引き継げる,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:修了の持ち運び可否は実務論点。園長が加算実務から断定できる【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,39
企業主導型保育園 働く 評判,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,40
保育士 から ベビーシッター 独立,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,23.88,1.0,41
保育士 から 幼児教室 講師,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,23.88,1.0,42
保育士 から 幼稚園教諭 転職,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,23.88,1.0,43
保育士 から 看護助手,C9_異業種・保育士以外のキャリア,100,Know,A,Low,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,23.88,1.0,44
保育士 スカウトサービス,C1_転職サイト・エージェント比較,100,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,23.88,1.0,45
保育士 リゾートバイト,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,46
保育士 上京 支援,C7_地域KW,100,Know,A,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,23.88,1.0,47
保育士 借り上げ社宅 なくなる,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,48
保育士 処遇改善手当 もらえない,C3_給料・年収・処遇改善,100,Know,A,Low,低,36,推定/根拠:加算は園に入るが配分は園裁量。園長が配分実務を開示できる＝完全な独自性【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,49
保育士 家賃補助 自治体 比較,C7_地域KW,100,Know,A,Low,低,39,推定/根拠:自治体横断比較は誰も丁寧にやっていない。地域KWのハブになる【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,50
保育士 年収400万 可能,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,51
保育士 持ち帰りなし 園 探し方,C4_働き方・雇用形態・施設タイプ,100,Do,A,Low,低,33,推定/根拠:『探し方』＝手順型でAI耐性高。園長が実態から判別基準を出せる【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,52
保育士 派遣 現実,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,53
保育士 短期離職 次の転職,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,54
保育士 福利厚生 比較,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,55
保育士 給料 高い 自治体,C7_地域KW,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,56
保育士 英語 資格 転職,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要,23.88,1.0,57
保育士 行事 少ない 園,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,58
保育士 転職 ピアノ 弾けない,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校,23.88,1.0,59
保育士 転職 回数 多い 不利,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,17,推定/根拠:採用側の許容ラインを開示できる。園長監修の独自性が直撃【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,60
保育士 転職 決め手,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,61
保育士 退職代行 使ってみた,C2_退職・辞めたい・人間関係,100,Know,A,Low,低,,推定/根拠:悩み起点サジェスト頻出。離職理由1位が人間関係33.5-38%（各社調査引用）,23.88,1.0,62
保育士 週3 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,63
夜間保育園 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,64
男性保育士 転職 おすすめ 職場,C10_市場・制度・データ（権威付け）,100,Know,A,Low,低,,推定/根拠:採用側が男性保育士をどう評価・配置するかは決裁者情報,23.88,1.0,65
病児保育 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,66
英語 使える 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,67
託児所 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,68
院内保育 きつい,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,26,推定/根拠:夜勤・少人数体制の実態。体験談型でAI耐性が高い【P2重点:30代・経験5年以上・失敗回避層】,23.88,1.0,69
障害児保育 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,23.88,1.0,70
保育園 見学 だけ 応募しない,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,20.80,2.0,71
保育士 から 保育園 本部 職員,C9_異業種・保育士以外のキャリア,50,Know,A,Low,低,,推定/根拠:『現場を離れて業界に残る』ニッチ。園長のキャリア知見で独占可能,20.80,1.0,72
保育士 住み込み 求人,C4_働き方・雇用形態・施設タイプ,50,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,20.80,1.0,73
保育士 処遇改善 配分 園によって違う,C3_給料・年収・処遇改善,50,Know,A,Low,低,37,推定/根拠:配分ルールの園差は求職者が最も知りたいのに誰も書いていない【P2重点:30代・経験5年以上・失敗回避層】,20.80,1.0,74
保育士 地方から東京 転職,C7_地域KW,50,Know,A,Low,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,20.80,1.0,75
保育士 経験5年 転職,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,20,推定/根拠:P2ど真ん中。経験年数の市場価値を採用側が評価する形で書ける【P2重点:30代・経験5年以上・失敗回避層】,20.80,1.0,76
保育士 転職 何社受ける,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,20.80,2.0,77
保育士 転職 年収ダウン 防ぐ,C3_給料・年収・処遇改善,50,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,20.80,1.0,78
保育士 転職 条件 優先順位,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,19,推定/根拠:条件の取捨選択フレーム。P2の意思決定を直接支援する【P2重点:30代・経験5年以上・失敗回避層】,20.80,1.0,79
保育士 転職 見極め ポイント,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,20.80,1.0,80
保育士 転職サイト 50代,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,20.80,1.0,81
保育士 転職サイト ブランク,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,20.80,1.0,82
保育士 転職サイト 地方,C1_転職サイト・エージェント比較,50,Buy,A,Low,低,,推定/根拠:Buy系SERPが全枠アフィリ比較記事＝商用需要大。ボリュームはレンジ推定,20.80,1.0,83
保育士 退職代行 その後 再就職,C2_退職・辞めたい・人間関係,50,Know,A,Low,低,45,推定/根拠:『代行を使うと次の選考に響くか』は採用側しか答えられない。園長監修の独壇場,20.80,1.0,84
保育士 面接 手応えあったのに落ちた,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,20.80,2.0,85
保育園 見学 アポ 電話 例文,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,推定/根拠:電話は10-11時/13-15時が推奨との記述が複数。手順型でAI耐性中,18.37,2.0,86
保育士 スポット求人 とは,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,18.37,1.0,87
保育士 ハローワーク 直接応募,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,18.37,2.0,88
保育士 夜勤 ある園,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,18.37,1.0,89
保育士 夜勤 手当 相場,C3_給料・年収・処遇改善,100,Know,A,Low,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占,18.37,1.0,90
保育士 履歴書 空白期間 書き方,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,18.37,2.0,91
保育士 直接応募 やり方,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,18.37,2.0,92
保育士 自己PR 経験者,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】,18.37,2.0,93
保育士 面接 実技 ピアノ 転職,C11_採用側・選考突破【中核】,100,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,18.37,2.0,94
保育士 面接 結果 遅い,C11_採用側・選考突破【中核】,100,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,18.37,2.0,95
院内保育 給料,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】,18.37,1.0,96
保育園 離職率 高い 理由,C8_園・法人の評判（要法務確認）,100,Know,B,Low,低,,要注意/名誉毀損・景表法リスク。断定評価は避け一次情報リンクのみ,17.91,1.5,97
保育士 園長 パワハラ 相談,C2_退職・辞めたい・人間関係,100,Do,B,Low,低,,推定/根拠:園長が書く『園長のパワハラ対処』は強烈な当事者性。相談先の一次情報で勝負,17.91,1.5,98
ブラック保育園 特徴,C11_採用側・選考突破【中核】,"1,000",Know,B,Mid,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,17.58,2.0,99
保育士 単発バイト,C4_働き方・雇用形態・施設タイプ,"1,000",Buy,A,Mid,低,,推定/根拠:バイトル/Indeedが上位。記事は『実態・時給・注意点』で隙間狙い,17.58,1.0,100
保育士 面接 複数 同時進行,C11_採用側・選考突破【中核】,50,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,16.00,2.0,101
保育士 面接 逆質問 何個,C11_採用側・選考突破【中核】,50,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,16.00,2.0,102
グローバルキッズ 保育士 評判,C8_園・法人の評判（要法務確認）,500,Know,A,Mid,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,15.84,1.0,103
企業内保育 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,28,推定/根拠:大手が仕事内容・給料・メリデメを網羅済みだが体験談の層が薄い【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,104
企業内保育所 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,24,推定/根拠:休みにくい/キャリアが積めない等の実務論点。比較検討層に直撃【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,105
保育士 から 介護職,C9_異業種・保育士以外のキャリア,500,Know,A,Mid,低,,推定/根拠:『保育士以外の仕事』系。大手が21〜25選型で網羅済み,15.84,1.0,106
保育士 単発バイト アプリ,C1_転職サイト・エージェント比較,500,Buy,A,Mid,低,,推定/根拠:単発系アプリ（ジョブスポ等）流入。アプリDL訴求と相性,15.84,1.0,107
保育士 土日休み 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,32,推定/根拠:条件×求人。土日休み志向は強い転職動機でCVに直結【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,108
保育士 年収 上げる方法,C3_給料・年収・処遇改善,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,109
保育士 日払い 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,15.84,1.0,110
保育士 残業なし 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,31,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,111
保育士 求人 さいたま市,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,112
保育士 求人 京都,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,113
保育士 求人 仙台,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,114
保育士 求人 川崎市,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,115
保育士 求人 広島,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,116
保育士 求人 沖縄,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,117
保育士 求人 神戸,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,118
保育士 求人 静岡,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい,15.84,1.0,119
保育士 派遣 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,30,推定/根拠:意思決定直前KW。派遣会社CVに直結しAI耐性も高い【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,120
保育士 派遣 メリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,15.84,1.0,121
保育士 退職代行,C2_退職・辞めたい・人間関係,500,Do,A,Mid,低,,推定/根拠:退職代行ASP案件と接続可。専門メディア＋代行業者が競合,15.84,1.0,122
児童発達支援 保育士 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,,推定/根拠:児発・放デイは求人拡大領域。保育士資格の受け皿として伸長【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,123
学童保育 指導員 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,15.84,1.0,124
小規模保育園 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,125
小規模保育園 メリット デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,23,推定/根拠:0-2歳特化・行事が少ない＝負担軽減志向の受け皿。P2の最頻出比較軸【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,126
小規模保育園 保育士 メリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,127
幼稚園教諭 から 保育士 転職,C6_資格・キャリアアップ,500,Know,A,Mid,低,,推定/根拠:資格保有者の横移動。CV意図が明確で競合は薄い,15.84,1.0,128
放課後等デイサービス 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,129
認可外保育園 保育士 働く,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP,15.84,1.0,130
認定こども園 保育士 大変,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,29,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,131
院内保育 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,27,【P2重点:30代・経験5年以上・失敗回避層】,15.84,1.0,132
保育園 行政指導 調べ方,C8_園・法人の評判（要法務確認）,50,Do,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,15.60,1.5,133
保育園 運営会社 調べ方,C8_園・法人の評判（要法務確認）,50,Do,B,Low,低,,【リスク要注意】名誉毀損・信用毀損・景表法。法人固有名の断定的評価は載せず、一次情報（離職率・現況報告書・行政指導歴）へのリンクと事実提示に限定。6ヶ月フェーズでは着手しない,15.60,1.5,134
保育士 から 人材紹介会社,C9_異業種・保育士以外のキャリア,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,15.60,1.5,135
保育士 紹介会社 やめとけ,C1_転職サイト・エージェント比較,50,Know,B,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,15.60,1.5,136
保育士 人材紹介 手数料 仕組み,C1_転職サイト・エージェント比較,100,Know,B,Low,中,,推定/根拠:『なぜ無料で使えるのか』の納得材料。園長視点の解説と接続できる,13.78,1.5,137
